ACARA School ID,AGE ID,School Name,Suburb,State,Postcode,Region,Cluster,Cluster Hub,Distance from Cluster 'hub',Driving Time from Cluster 'hub' (Min),Distance from CBD,Driving Time from CBD (Min),Latitude,Longitude,School Sector,School Type,Campus Type,Rolled Reporting Description,School URL,Year Range,Geolocation,TFA Eligible school,ICSEA,Bottom SEA Quarter,Lower Middle SEA Quarter,Upper Middle SEA Quarter,Top SEA Quarter,Teaching Staff,FTE Teaching Staff,Non-Teaching Staff,FTE Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Enrolment change from 2016,Indigenous Enrolments,Language Background Other Than English,NAPLAN numeracy comparison to national average Yr 9,NAPLAN reading comparison to national average Yr 9,% Students at University,% Students at TAFE,% Students in Employment,C2010 placements,C2010,C2011 placements,C2011,C2012 placements,C2012,C2013 placements,C2013,C2014 placements,C2014,C2015 placements,C2015,C2016 placements,C2016,C2017 placements,C2017,C2018 placements,C2018,Total placements,Current TFA partner school,TFA placement school,2018 PAN member,TLA,TTL school,Alumni at school,Duplicates
1,3,obfuscated_1,obfuscated_1,TAS,7018,,,,,,,,-43.31756067,147.2460519,Catholic,Primary,School Single Entity,Individual Reporting,http://www.corpuschristi.tas.edu.au,Prep-6,Inner Regional,,1063,10,27,33,31,29,20.4,16,9.4,399,194,205,399,0%,2,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,obfuscated_2,obfuscated_2,TAS,7005,,,,,,,,-43.31008295,147.0130337,Independent,Combined,School Single Entity,Individual Reporting,http://www.fahan.tas.edu.au,Prep-12,Inner Regional,,1130,4,11,26,59,40,33.3,29,21.7,372,372,0,372,1%,1,7,Above,Substantially Above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,obfuscated_3,obfuscated_3,TAS,7307,,,,,,,,-43.165474,146.943967,Independent,Combined,School Single Entity,Individual Reporting,http://www.geneva.tas.edu.au,Prep-12,Outer Regional,Yes,969,34,40,22,5,20,14.5,34,20.8,194,78,116,194,13%,8,4,Below,Substantially Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,obfuscated_4,obfuscated_4,TAS,7011,,,,,,,,-43.164652,147.239683,Catholic,Primary,School Single Entity,Individual Reporting,http://www.holyrosary.tas.edu.au,Prep-6,Inner Regional,,987,31,40,23,7,28,21.9,23,11,397,179,218,397,1%,4,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,obfuscated_5,obfuscated_5,TAS,7008,,,,,,,,-43.16224412,146.9221263,Catholic,Primary,School Single Entity,Individual Reporting,http://www.ihms.tas.edu.au,Prep-6,Inner Regional,,1006,24,32,26,18,14,9.6,12,5.3,189,94,95,189,12%,8,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,obfuscated_6,obfuscated_6,TAS,7250,,,,,,,,-43.161812,147.075798,Independent,Combined,School Single Entity,Individual Reporting,http://www.jcs.tas.edu.au,Prep-10,Inner Regional,,1053,13,33,30,25,12,9.1,9,4,100,46,54,100,-2%,0,0,Substantially Above,Substantially Above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11,obfuscated_7,obfuscated_7,TAS,7250,,,,,,,,-43.15825931,147.0722396,Catholic,Primary,School Single Entity,Individual Reporting,http://www.larmenier.com,Prep-6,Inner Regional,,1006,26,35,23,16,13,9.9,11,4.8,172,90,82,172,1%,4,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12,obfuscated_8,obfuscated_8,TAS,7248,,,,,,,,-43.141636,147.152841,Independent,Combined,School Head Campus,Rolled Reporting,http://www.lcgs.tas.edu.au,Prep-12,Inner Regional,,1108,5,16,29,50,88,76.4,56,43.2,743,358,385,743,3%,2,7,Above,Above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13,obfuscated_9,obfuscated_9,TAS,7112,,,,,,,,-43.09833639,147.7470655,Catholic,Combined,School Single Entity,Individual Reporting,http://www.sjcc.tas.edu.au,Prep-10,Outer Regional,Yes,897,46,35,16,4,32,22.1,16,7.5,239,103,136,239,6%,36,0,Substantially Below,Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18,obfuscated_10,obfuscated_10,TAS,7310,,,,,,,,-43.08553093,147.0118557,Catholic,Primary,School Single Entity,Individual Reporting,http://www.ololtas.com.au,Prep-6,Inner Regional,,1023,22,26,28,25,26,21.4,26,12.3,407,205,202,407,0%,9,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19,obfuscated_11,obfuscated_11,TAS,7304,,,,,,,,-43.06533258,147.2542694,Catholic,Primary,School Single Entity,Individual Reporting,http://www.olom.tas.edu.au,Prep-6,Outer Regional,,1002,29,29,25,16,11,8,12,4.6,106,49,57,106,-1%,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,22,obfuscated_12,obfuscated_12,TAS,7315,,,,,,,,-43.028852,147.262095,Catholic,Primary,School Single Entity,Individual Reporting,http://www.shu.tas.edu.au,Prep-6,Outer Regional,,1002,22,32,27,19,18,13.7,19,9.8,239,118,121,239,-7%,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,23,obfuscated_13,obfuscated_13,TAS,7116,,,,,,,,-43.02813851,146.962378,Catholic,Primary,School Single Entity,Individual Reporting,http://www.shg.tas.edu.au,Prep-6,Outer Regional,,962,35,30,22,13,14,9.4,13,7.6,150,81,69,150,1%,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,26,obfuscated_14,obfuscated_14,TAS,7250,,,,,,,,-43.027034,147.271393,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stanthonys.tas.edu.au,Prep-6,Inner Regional,,989,33,29,26,12,14,9.6,11,4.5,168,80,88,168,-7%,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,27,obfuscated_15,obfuscated_15,TAS,7330,,,,,,,,-43.02586187,147.420197,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stpeterchanelsmithton.com,Prep-6,Outer Regional,,899,44,34,17,5,12,10.5,15,7.1,178,84,94,178,-6%,40,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,29,obfuscated_16,obfuscated_16,TAS,7140,,,,,,,,-43.02374508,147.0469488,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stbrigidsnn.tas.edu.au,Prep-6,Inner Regional,,994,35,30,22,12,15,11.8,13,4.7,176,82,94,176,-8%,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,30,obfuscated_17,obfuscated_17,TAS,7325,,,,,,,,-43.02374508,147.0469488,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sbw.tas.edu.au,Prep-6,Outer Regional,,980,29,33,25,14,16,10.4,10,4.4,128,57,71,128,-5%,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,31,obfuscated_18,obfuscated_18,TAS,7015,,,,,,,,-43.0086344,147.3193779,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stcuthberts.tas.edu.au,Prep-6,Inner Regional,,1026,18,33,29,20,17,14.1,12,5.4,254,129,125,254,6%,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,36,obfuscated_19,obfuscated_19,TAS,7025,,,,,,,,-42.997854,147.289813,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stjohns.tas.edu.au,Prep-6,Outer Regional,,1039,15,32,30,24,23,16,17,6.5,288,142,146,288,-1%,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,38,obfuscated_20,obfuscated_20,TAS,7470,,,,,,,,-42.997539,147.289506,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stjosephsr.tas.edu.au,Prep-6,Remote,,994,29,29,23,20,7,5.9,8,3.8,69,28,41,69,-4%,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,39,obfuscated_21,obfuscated_21,TAS,7467,,,,,,,,-42.99699352,147.3212642,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stjosephsq.tas.edu.au,Prep-6,Remote,,983,32,34,20,15,10,8.1,10,4.2,94,46,48,93.5,-13%,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,40,obfuscated_22,obfuscated_22,TAS,7000,,,,,,,,-42.990905,147.307777,Catholic,Combined,School Single Entity,Individual Reporting,http://www.smc.tas.edu.au,Prep-12,Inner Regional,,1063,12,24,33,31,88,66.8,44,32.1,890,831,59,890,3%,1,4,Below,Close to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
